103	0.240155
51	0.320170
110	0.289746
67	0.173342
11	0.145797
13	0.153066
76	0.281689
67	0.199723
66	0.325008
92	0.222238
83	0.089775
67	0.310405
43	0.132165
13	0.142435
60	0.151075
103	0.229578
43	0.255320
54	0.211374
93	0.235293
13	0.153682
66	0.272525
43	0.253838
11	0.108230
110	0.175375
18	0.282770
83	0.132286
78	0.182492
83	0.137497
83	0.160721
51	0.402492
101	0.174617
67	0.167842
21	0.147224
23	0.109269
103	0.183773
14	0.075841
43	0.195917
110	0.126907
1	0.161265
1	0.155518
83	0.091009
73	0.116891
80	0.175093
110	0.114006
14	0.139937
39	0.185620
32	0.192077
2	0.278247
66	0.118224
41	0.228046
91	0.150269
103	0.280902
83	0.093483
21	0.173666
93	0.148071
23	0.165631
30	0.140781
103	0.181933
6	0.088676
95	0.187163
98	0.207190
41	0.155573
1	0.109303
15	0.181748
83	0.029262
43	0.252474
1	0.298179
13	0.193287
91	0.136934
44	0.277854
1	0.067921
83	0.097299
54	0.211759
103	0.166183
110	0.214303
110	0.247985
1	0.151785
1	0.165883
103	0.259444
51	0.265048
67	0.343034
56	0.131031
103	0.133385
43	0.160352
67	0.220555
15	0.169658
39	0.131184
21	0.133221
69	0.220100
73	0.139616
4	0.155489
101	0.166450
1	0.112026
110	0.149404
101	0.287097
32	0.228886
66	0.331303
95	0.160429
98	0.187654
96	0.136070
81	0.260185
65	0.171723
9	0.178771
117	0.261938
47	0.250192
45	0.172714
86	0.242052
8	0.121696
6	0.162656
8	0.160625
112	0.301754
84	0.164197
34	0.175712
73	0.248720
17	0.172503
47	0.128647
72	0.181941
65	0.087380
54	0.297571
27	0.279095
96	0.147176
6	0.126604
6	0.149733
12	0.249976
62	0.162199
45	0.195065
81	0.160105
117	0.259708
32	0.169647
45	0.161233
117	0.104441
44	0.203444
56	0.125957
6	0.170403
17	0.147190
113	0.151905
113	0.171105
32	0.203047
45	0.165995
81	0.144142
47	0.204062
17	0.158665
47	0.238160
81	0.204255
31	0.123166
69	0.199804
86	0.229959
45	0.157740
45	0.131204
50	0.176424
34	0.159777
18	0.219116
45	0.193464
45	0.138779
45	0.182175
54	0.179796
69	0.190715
61	0.257090
44	0.133972
69	0.144946
36	0.280905
18	0.214159
36	0.209493
69	0.248979
65	0.137667
18	0.237490
17	0.176248
81	0.293664
77	0.216912
81	0.122149
117	0.215639
81	0.185748
96	0.209360
47	0.133380
32	0.193522
117	0.179530
6	0.243100
117	0.314141
81	0.257105
92	0.159410
66	0.186228
45	0.133288
12	0.146687
44	0.181458
8	0.190051
17	0.225815
112	0.068926
29	0.151454
99	0.177149
98	0.174924
47	0.265179
4	0.196704
60	0.130561
95	0.190031
61	0.154535
18	0.182030
77	0.226323
112	0.229572
45	0.215272
65	0.252953
59	0.185785
77	0.260886
61	0.207640
117	0.111190
12	0.196366
8	0.139110
6	0.210667
81	0.156559
45	0.248429
77	0.190722
45	0.180009
77	0.168476
96	0.122390
12	0.187805
12	0.175744
91	0.283384
45	0.222850
36	0.224452
84	0.110408
64	0.185486
77	0.268813
73	0.232571
113	0.244171
98	0.253566
113	0.163022
47	0.165817
45	0.182040
77	0.173817
77	0.162978
8	0.216454
34	0.167717
77	0.319987
77	0.290801
45	0.159990
113	0.179571
65	0.160665
81	0.200172
113	0.231584
81	0.161505
73	0.188942
45	0.145410
45	0.164081
81	0.237726
54	0.180834
81	0.190914
45	0.294775
8	0.234592
64	0.120228
59	0.115870
113	0.147563
6	0.177070
104	0.239029
84	0.221860
113	0.248203
84	0.182374
69	0.238724
12	0.231996
84	0.206221
59	0.221547
77	0.207749
54	0.285882
8	0.170878
81	0.184220
70	0.263437
8	0.095668
45	0.182526
54	0.273732
8	0.160019
73	0.183192
113	0.162735
45	0.208815
8	0.122261
81	0.171382
45	0.079483
77	0.171363
77	0.159190
8	0.181632
8	0.194515
47	0.208385
84	0.217671
70	0.186451
32	0.213540
81	0.178994
54	0.319422
47	0.194552
8	0.219743
77	0.153121
36	0.223028
16	0.178120
64	0.177900
64	0.209457
45	0.160823
96	0.142459
45	0.230711
117	0.168512
59	0.172483
112	0.189613
112	0.210344
90	0.084254
84	0.213025
